r,trajectory_id,step_id,PL,RMS,PL_minus_RMS,abs_PL_minus_RMS,PL_RMS_ratio,PL_plus_RMS,RMS_PL_ratio
1065.574962168312,14,3,63.0,8.79,54.21,54.21,7.17,71.79,0.14
799.6924408796172,14,4,63.9,9.44,54.46,54.46,6.77,73.34,0.15
1002.4859101254242,14,5,63.0,9.05,53.95,53.95,6.96,72.05,0.14
888.5544440269263,14,6,63.5,9.41,54.09,54.09,6.75,72.91,0.15
1005.3481983870066,14,7,63.3,8.92,54.38,54.38,7.1,72.22,0.14
1200.037499414081,14,8,61.7,8.22,53.48,53.48,7.51,69.92,0.13
765.3299941855147,14,9,62.4,8.59,53.81,53.81,7.26,70.99,0.14
1517.6679478726564,15,0,64.1,9.03,55.07,55.07,7.1,73.13,0.14
1093.7001417207553,15,1,62.2,8.16,54.04,54.04,7.62,70.36,0.13
1540.7855139505953,15,2,63.7,8.68,55.02,55.02,7.34,72.38,0.14
1674.172034170921,15,3,63.2,8.38,54.82,54.82,7.54,71.58,0.13
1792.6075978863862,15,4,63.9,9.04,54.86,54.86,7.07,72.94,0.14
1441.334104224277,15,5,63.8,9.11,54.69,54.69,7.0,72.91,0.14
1027.2395046920656,15,6,62.2,8.3,53.9,53.9,7.49,70.5,0.13
1222.4041884744995,15,7,62.8,8.77,54.03,54.03,7.16,71.57,0.14
787.8197763448186,15,8,63.5,9.4,54.1,54.1,6.76,72.9,0.15
1044.668847051543,15,9,64.1,9.65,54.45,54.45,6.64,73.75,0.15
2508.9952172134567,16,0,62.3,7.82,54.48,54.48,7.97,70.12,0.13
2538.3845256383047,16,1,63.6,9.0,54.6,54.6,7.07,72.6,0.14
2336.122642328523,16,2,63.0,8.38,54.62,54.62,7.52,71.38,0.13
2124.69291898853,16,3,64.1,9.15,54.95,54.95,7.01,73.25,0.14
2061.8016393436105,16,4,63.5,8.36,55.14,55.14,7.6,71.86,0.13
1930.004145073269,16,5,62.4,7.7,54.7,54.7,8.1,70.1,0.12
2185.425587843247,16,6,63.7,9.18,54.52,54.52,6.94,72.88,0.14
2390.3112768005763,16,7,62.7,8.34,54.36,54.36,7.52,71.04,0.13
1806.3377314334105,16,8,64.3,9.68,54.62,54.62,6.64,73.98,0.15
1999.0760365728963,16,9,66.2,10.61,55.59,55.59,6.24,76.81,0.16
1335.4927929419912,17,0,61.3,7.54,53.76,53.76,8.13,68.84,0.12
1556.1892558426175,17,1,62.9,8.41,54.49,54.49,7.48,71.31,0.13
1167.6048132823023,17,2,62.1,8.61,53.49,53.49,7.21,70.71,0.14
1243.2284584902327,17,3,63.5,8.83,54.67,54.67,7.19,72.33,0.14
1479.5918356087263,17,4,63.0,8.79,54.21,54.21,7.17,71.79,0.14
1875.6956043025743,17,5,63.0,8.32,54.68,54.68,7.57,71.32,0.13
2312.465783530645,17,6,61.8,7.63,54.17,54.17,8.1,69.43,0.12
1963.7214670110425,17,7,62.9,8.4,54.5,54.5,7.49,71.3,0.13
2419.592114386224,17,8,63.3,8.84,54.46,54.46,7.16,72.14,0.14
1913.7776777880968,17,9,63.0,8.22,54.78,54.78,7.66,71.22,0.13
2088.430032344871,18,0,64.9,9.52,55.38,55.38,6.82,74.42,0.15
1902.3953322062164,18,1,62.8,8.13,54.67,54.67,7.72,70.93,0.13
1565.7745687039371,18,2,63.4,8.69,54.71,54.71,7.3,72.09,0.14
